Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR35320088_2	(1.0, 6.650594194428209)	(2.0, 2.888174556789402)	(3.0, 1.5926358854471068)	(4.0, 1.3345022404052211)	(5.0, 1.0227936879018118)	(6.0, 0.701344243132671)	(7.0, 0.8182349503214494)	(8.0, 0.7597895967270601)	(9.0, 0.8109292811221507)	('>10', 12.538963569062927)	('>50', 10.30586401714397)	('>100', 48.361094876290665)	('>500', 12.215078901227352)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320089_1	(1.0, 4.737867331336531)	(2.0, 2.3877845966948033)	(3.0, 1.3949688959638062)	(4.0, 0.9551138386779213)	(5.0, 0.5864734097145131)	(6.0, 0.3267494711266573)	(7.0, 0.5864734097145131)	(8.0, 0.4356659615022097)	(9.0, 0.4524223446369101)	('>10', 6.958088096684331)	('>50', 6.763295142743439)	('>100', 29.761430995119703)	('>500', 19.550510022411665)	('>1k', 25.103156483673)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320089_2	(1.0, 5.967366943845171)	(2.0, 2.546970236474457)	(3.0, 1.4766562637454705)	(4.0, 1.0472739459187734)	(5.0, 1.0577466853779611)	(6.0, 0.9299792639758707)	(7.0, 0.9823429612718095)	(8.0, 0.7205244747921161)	(9.0, 0.5655279307961377)	('>10', 7.873405525417339)	('>50', 6.017636093249272)	('>100', 47.92535031313491)	('>500', 11.72318455061475)	('>1k', 11.166034811385963)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320090_1	(1.0, 4.350146784093941)	(2.0, 2.1884174005871366)	(3.0, 1.3410728582866294)	(4.0, 0.9518726091984699)	(5.0, 0.7116804554754915)	(6.0, 0.5204163330664532)	(7.0, 0.4359042789787385)	(8.0, 0.28467218219019663)	(9.0, 0.2602081665332266)	('>10', 7.6349968863980076)	('>50', 5.93363579752691)	('>100', 22.224446223645582)	('>500', 20.382973045102748)	('>1k', 32.77955697891647)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320090_2	(1.0, 5.824659727782225)	(2.0, 2.2595854461346856)	(3.0, 1.3277288497464639)	(4.0, 1.0230406547460191)	(5.0, 0.9229605906947781)	(6.0, 0.573792367227115)	(7.0, 0.7316964682857396)	(8.0, 0.5871363757672805)	(9.0, 0.4603682946357086)	('>10', 9.721110221510541)	('>50', 9.22960590694778)	('>100', 27.64656169379948)	('>500', 30.506627524241615)	('>1k', 9.185125878480562)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320091_1	(1.0, 4.065685164212911)	(2.0, 2.3405058512646284)	(3.0, 1.058890147225368)	(4.0, 0.7776519441298604)	(5.0, 0.5756889392223481)	(6.0, 0.362400906002265)	(7.0, 0.3699509248773122)	(8.0, 0.34730086825217066)	(9.0, 0.3567383918459796)	('>10', 6.28161570403926)	('>50', 4.077010192525481)	('>100', 25.702151755379386)	('>500', 13.716496791241978)	('>1k', 39.96791241978105)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320091_2	(1.0, 4.907512268780672)	(2.0, 2.2197055492638733)	(3.0, 1.2967157417893544)	(4.0, 0.807852019630049)	(5.0, 0.7644394110985278)	(6.0, 0.6568516421291053)	(7.0, 0.4492261230653076)	(8.0, 0.5738014345035862)	(9.0, 0.49263873159682897)	('>10', 9.59041147602869)	('>50', 5.419026047565119)	('>100', 17.79350698376746)	('>500', 46.898829747074366)	('>1k', 8.12948282370706)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320092_1	(1.0, 4.964597511514402)	(2.0, 2.3262528356362133)	(3.0, 1.526087853165601)	(4.0, 1.000893655049151)	(5.0, 0.6393070736234274)	(6.0, 0.6434316353887399)	(7.0, 0.45232694026259707)	(8.0, 0.38495909809582735)	(9.0, 0.4330789853578057)	('>10', 4.465525537911597)	('>50', 3.3078985357805735)	('>100', 25.821131504777618)	('>500', 16.522994431841617)	('>1k', 37.51151440159483)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320092_2	(1.0, 5.170825599780024)	(2.0, 1.9632914002887192)	(3.0, 1.0558878119199835)	(4.0, 0.6599298824499897)	(5.0, 0.6461813432322816)	(6.0, 0.40420705300061865)	(7.0, 0.394583075548223)	(8.0, 0.34096377259916133)	(9.0, 0.4578263559496804)	('>10', 7.9824018698013335)	('>50', 8.126761531587269)	('>100', 31.628514470337528)	('>500', 19.293325084209805)	('>1k', 21.875300749295388)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320093_1	(1.0, 6.605387463296311)	(2.0, 2.379675730882165)	(3.0, 1.011106855610877)	(4.0, 0.653644835950466)	(5.0, 0.4723605259798289)	(6.0, 0.3676752202221371)	(7.0, 0.3932082216264522)	(8.0, 0.28596961572832885)	(9.0, 0.32171581769436997)	('>10', 3.5414272947785013)	('>50', 4.636793055023618)	('>100', 38.91740074045704)	('>500', 22.300523426528787)	('>1k', 18.113111196221116)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320093_2	(1.0, 10.787693093323119)	(2.0, 2.246904123579727)	(3.0, 1.0647261585599386)	(4.0, 0.6127920337035618)	(5.0, 0.5361930294906166)	(6.0, 0.4902336269628495)	(7.0, 0.3574620196604111)	(8.0, 0.28596961572832885)	(9.0, 0.09191880505553428)	('>10', 4.57296055151283)	('>50', 9.4165709179114)	('>100', 59.34890846418996)	('>500', 10.187667560321715)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320094_1	(1.0, 6.094992477971202)	(2.0, 2.1233612722974424)	(3.0, 1.1992263056092844)	(4.0, 0.7565011820330969)	(5.0, 0.5157962604771116)	(6.0, 0.46421663442940037)	(7.0, 0.4513217279174726)	(8.0, 0.3266709649688373)	(9.0, 0.3481624758220503)	('>10', 3.980227810015044)	('>50', 4.134966688158177)	('>100', 24.231678486997634)	('>500', 25.069847410272946)	('>1k', 30.303030303030305)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320094_2	(1.0, 9.673329035031163)	(2.0, 2.2179239200515797)	(3.0, 1.0767246937459702)	(4.0, 0.6791317429615302)	(5.0, 0.4513217279174726)	(6.0, 0.3868471953578337)	(7.0, 0.42123361272297444)	(8.0, 0.37825059101654845)	(9.0, 0.2514506769825919)	('>10', 8.977004083387062)	('>50', 2.353320438426821)	('>100', 72.03954437996991)	('>500', 1.0939179024285408)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320095_1	(1.0, 5.97426617133564)	(2.0, 2.576571692788469)	(3.0, 1.4828042538943542)	(4.0, 0.9821585165579807)	(5.0, 0.558044611680671)	(6.0, 0.4687574738117635)	(7.0, 0.5022401505126038)	(8.0, 0.39541446770516114)	(9.0, 0.2869943717214879)	('>10', 7.984821186562286)	('>50', 6.769878346274654)	('>100', 28.311994770324784)	('>500', 12.83183724230297)	('>1k', 30.87421674452718)	('>5k', 0.0)	('>10k+', 0.0)
SRR35320095_2	(1.0, 5.980643824040562)	(2.0, 2.3756756325834276)	(3.0, 1.3345238285049188)	(4.0, 0.7972065881152441)	(5.0, 0.5979049410864331)	(6.0, 0.4878904319265295)	(7.0, 0.4575965815781502)	(8.0, 0.45919099475438063)	(9.0, 0.4161418389961574)	('>10', 10.594875556051596)	('>50', 11.068416269392051)	('>100', 36.097514309858255)	('>500', 22.230902916181698)	('>1k', 7.101516286930595)	('>5k', 0.0)	('>10k+', 0.0)
